Product Name,Advisory Number,Date Posted
Yuntongdingjiaonang,FDA Advisory No. 2020-1341,2020-07-23
Zhengqing Fengtongning Pian [as reflected in the package insert],FDA Advisory No. 2020-1341,2020-07-23
999® OTC Sanjiu Weitai Jiaonang [as reflected in the package insert],FDA Advisory No. 2020-1342,2020-07-24
Lansoprazole Enteric-coated Tablets 15mg,FDA Advisory No. 2020-1342,2020-07-24
OTC Bausch + Lomb,FDA Advisory No. 2020-1342,2020-07-24
OTC Yulin® Shiduqing Jiaonang [as reflected in the package insert],FDA Advisory No. 2020-1342,2020-07-24
Pule’an Pian,FDA Advisory No. 2020-1342,2020-07-24
Dexamethasone Sodium Phosphate Eye Drops 5mL,FDA Advisory No. 2020-1343,2020-07-24
Minsheng® Raceanisodamine Tablets 5mg,FDA Advisory No. 2020-1343,2020-07-24
OTC Guilin Xiguashuang [as reflected in the package insert],FDA Advisory No. 2020-1343,2020-07-24
OTC Qiye Shen’an Pian,FDA Advisory No. 2020-1343,2020-07-24
Wantong Jingu Pian [as reflected in the package insert],FDA Advisory No. 2020-1343,2020-07-24
Jin Gang Teng Jiao Nang,FDA Advisory No. 2020-1344,2020-07-24
OTC Bangqi® Compound Guaiacol Potassium Sulfonale Oral Solution Fufang Yuchuangmufenhuang suanjia Koufu Rongye [as reflected in the secondary packaging],FDA Advisory No. 2020-1344,2020-07-24
OTC [Label in Foreign Language],FDA Advisory No. 2020-1344,2020-07-24
Qiushuixianjian Pian Colchicine Tablets,FDA Advisory No. 2020-1344,2020-07-24
Sheng Hua Wan,FDA Advisory No. 2020-1344,2020-07-24
OTC Fu Fang Ku Shen Shui Yang Suan San,FDA Advisory No. 2020-1345,2020-07-24
OTC Fufang Yuxingcao Pian,FDA Advisory No. 2020-1345,2020-07-24
Ossotide Injection 2ml:10mg Gutai Zhusheye [as reflected in the package insert],FDA Advisory No. 2020-1345,2020-07-24
Youcare Omeprazole Enteric-coated Capsules 20mg,FDA Advisory No. 2020-1345,2020-07-24
Zhi Su Ning Pian,FDA Advisory No. 2020-1345,2020-07-24
KHJ Kaihoujian Penwuji,FDA Advisory No. 2020-1346,2020-07-24
NV Bao Jiao Nang,FDA Advisory No. 2020-1346,2020-07-24
OTC Ainaxiang® Yanlishuang Kouhan Diwan,FDA Advisory No. 2020-1346,2020-07-24
Sine® Simvastatin Tablets 10mg,FDA Advisory No. 2020-1346,2020-07-24
Zhisuning Pian,FDA Advisory No. 2020-1346,2020-07-24
Medroxyprogesterone Acetate Tablets 2mg,FDA Advisory No. 2020-1347,2020-07-24
OTC Oryzanol Tablets GWSP,FDA Advisory No. 2020-1347,2020-07-24
OTC Yimucao Keli,FDA Advisory No. 2020-1347,2020-07-24
OTC Zuoquenuoyuntong Pian evonorgestrel Tablets [as reflected in the package insert],FDA Advisory No. 2020-1347,2020-07-24
Ribavirin Eye Drops 8mL,FDA Advisory No. 2020-1347,2020-07-24
OTC LN® Oral Rehydration Salts Powder (II),FDA Advisory No. 2020-1351,2020-07-27
OTC Livzon Cetirizine Hydrochloride Tablets,FDA Advisory No. 2020-1351,2020-07-27
"OTC Wei U Dianqie Lü Jiaonang II – Vitamin U, Belladonna and Aluminium Capsules II [as reflected in the package insert]",FDA Advisory No. 2020-1351,2020-07-27
OTC Yinhuang Keli,FDA Advisory No. 2020-1351,2020-07-27
Azithromycin Dispersible Tablets 6’s,FDA Advisory No. 2020-1434,2020-08-03
Azithromycin for Injection 0.25 g,FDA Advisory No. 2020-1434,2020-08-03
